[2025-04-10 00:49:07,650] 22 root - INFO - Logging setup completed successfully!
[2025-04-10 00:49:09,171] 97 werkzeug - WARNING -  * Debugger is active!
[2025-04-10 00:49:09,184] 97 werkzeug - INFO -  * Debugger PIN: 116-191-672
[2025-04-10 00:49:47,848] 97 werkzeug - INFO - 127.0.0.1 - - [10/Apr/2025 00:49:47] "GET /predict HTTP/1.1" 200 -
[2025-04-10 00:49:47,972] 97 werkzeug - INFO - 127.0.0.1 - - [10/Apr/2025 00:49:47] "GET /static/style.css HTTP/1.1" 200 -
[2025-04-10 00:49:48,030] 97 werkzeug - INFO - 127.0.0.1 - - [10/Apr/2025 00:49:48] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[2025-04-10 00:51:32,223] 97 werkzeug - INFO - 127.0.0.1 - - [10/Apr/2025 00:51:32] "GET /predict HTTP/1.1" 200 -
[2025-04-10 00:51:32,257] 97 werkzeug - INFO - 127.0.0.1 - - [10/Apr/2025 00:51:32] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
[2025-04-10 00:51:34,948] 53 root - INFO - Data Frame Gathered
[2025-04-10 00:51:35,301] 26 root - INFO - Exception occured in prediction
[2025-04-10 00:51:35,367] 97 werkzeug - INFO - 127.0.0.1 - - [10/Apr/2025 00:51:35] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[2025-04-10 00:51:35,416] 97 werkzeug - INFO - 127.0.0.1 - - [10/Apr/2025 00:51:35] "GET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[2025-04-10 00:51:35,461] 97 werkzeug - INFO - 127.0.0.1 - - [10/Apr/2025 00:51:35] "GET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[2025-04-10 00:51:35,539] 97 werkzeug - INFO - 127.0.0.1 - - [10/Apr/2025 00:51:35] "GET /predict?__debugger__=yes&cmd=resource&f=console.png&s=7d8aiVVfVJBXltfsfmiE HTTP/1.1" 200 -
[2025-04-10 00:51:35,550] 97 werkzeug - INFO - 127.0.0.1 - - [10/Apr/2025 00:51:35] "GET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[2025-04-10 00:58:33,691] 97 werkzeug - INFO -  * Detected change in 'C:\\Users\\mk744\\OneDrive - Poornima University\\Desktop\\IdentifyGender\\src\\pipeline\\prediction_pipeline.py', reloading
